"decade","genre","platform","num_games","total_na_sales","total_eu_sales","total_jp_sales","total_other_sales","total_global_sales"
2000,"Party/Minigames","PC","2","0","0.03","0","0","0.04"
2000,"Rhythm/Music","PC","2","0.01","0.03","0","0.01","0.04"
2000,"Educational","GBA","1","0.02","0.01","0","0","0.03"
2000,"Educational","PS2","1","0.01","0.01","0","0","0.02"
2000,"Card Game/Casino","PC","1","0","0.01","0","0","0.01"
2000,"Trivia/Board Game","PC","1","0","0.01","0","0","0.01"
2010,"Action","PS3","273","74.11","77.34","22.02","31.79","205.39"
2010,"Shooter","X360","110","97.83","46.73","1.61","13.32","159.63"
2010,"Action","X360","190","81.41","50.48","1.46","12.75","146.15"
2010,"Shooter","PS3","96","51.10","51.26","6.30","19.69","128.37"
2010,"Sports","PS3","128","38.57","34.29","6.35","13.94","93.08"
2010,"Action","PS4","119","29.26","37.93","5.28","13.64","86.10"
2010,"Shooter","PS4","33","28.53","34.31","2.39","12.13","77.35"
2010,"Role-Playing","3DS","87","21.06","13.26","39.95","3.02","77.32"
2010,"Sports","X360","104","44.21","20.97","0.11","5.99","71.31"
2010,"Rhythm/Music","Wii","59","32.30","18.67","2.64","5.01","58.58"
2010,"Action","3DS","175","18.54","11.96","20.93","2.72","54.23"
2010,"Shooter","XOne","32","32.20","15.59","0.16","4.45","52.41"
2010,"Role-Playing","PS3","95","18.80","14.48","12.67","6.31","52.20"
2010,"Sports","PS4","43","18.12","21.74","0.92","7.85","48.60"
2010,"Action","Wii","93","26.19","14.83","2.04","3.94","47.02"
2010,"Racing","PS3","52","11.54","20.24","1.92","7.92","41.59"
2010,"Role-Playing","X360","38","23.93","11.25","0.82","3.30","39.32"
2010,"Misc","X360","13","25.97","9.76","0.36","3.11","39.18"
2010,"Role-Playing","DS","39","12.40","5.93","16.90","1.60","36.84"
2010,"Action","XOne","68","19.55","11.55","0.05","2.82","33.99"
2010,"Platform","3DS","27","13.06","10.35","6.40","2.24","32.03"
2010,"Role-Playing","PC","57","14.25","13.84","0","3.69","31.83"
2010,"Platform","Wii","21","15.73","7.96","4.31","2.23","30.19"
2010,"Sports","Wii","88","17.34","7.66","1.43","2.34","28.83"
2010,"Simulation","3DS","41","7.73","8.84","10.71","1.50","28.74"
2010,"Racing","X360","56","12.03","12.72","0.15","2.69","27.66"
2010,"Shooter","PC","74","8.62","14.27","0","3.47","26.37"
2010,"Role-Playing","PS4","47","8.26","10.55","3.23","3.74","25.77"
2010,"Action","DS","108","13.63","7.22","2.28","1.97","25.12"
2010,"Fighting","PS3","53","10.34","6.26","5.01","2.84","24.45"
2010,"Sports","XOne","34","13.37","7.01","0","1.90","22.26"
2010,"Adventure","PS3","62","7.95","8.46","1.94","3.30","21.68"
2010,"Platform","WiiU","16","9.97","6.16","3.65","1.48","21.24"
2010,"Rhythm/Music","X360","35","14.38","4.34","0.05","1.61","20.38"
2010,"Role-Playing","PSP","92","1.93","0.93","16.59","0.66","20.09"
2010,"Simulation","PC","58","3.27","13.48","0","2.89","19.69"
2010,"Action","PSV","138","4.85","5.60","6.38","2.77","19.63"
2010,"Action","WiiU","59","9.65","6.40","0.97","1.73","18.78"
2010,"Party/Minigames","Wii","22","6.82","6.64","3.77","1.46","18.73"
2010,"Action","PC","94","5.29","10.67","0","2.44","18.39"
2010,"Strategy","PC","62","5.89","8.82","0","2.22","17.02"
2010,"Adventure","X360","34","9.44","5.32","0.40","1.35","16.54"
2010,"Action","PSP","105","2.95","3.04","7.72","1.76","15.49"
2010,"Fighting","X360","37","9.66","3.63","0.39","1.14","14.82"
2010,"Racing","3DS","12","6.15","4.67","2.81","1.08","14.68"
2010,"Simulation","DS","75","8.28","2.82","1.29","0.94","13.37"
2010,"Platform","PS3","22","6.37","4.73","0.23","1.97","13.32"
2010,"Role-Playing","PSV","83","2.81","1.64","7.50","1.16","13.12"
2010,"Fitness","Wii","11","6.83","4.25","0.09","1.15","12.30"
2010,"Racing","PS4","18","2.50","7.36","0.26","1.77","11.85"
2010,"Rhythm/Music","PS3","37","5.09","3.96","0.51","1.69","11.27"
2010,"Puzzle","DS","63","6.38","3.27","0.61","0.91","11.19"
2010,"Fighting","3DS","13","4.28","2.14","3.19","0.60","10.23"
2010,"Adventure","DS","70","4.71","2.85","1.71","0.72","9.96"
2010,"Role-Playing","XOne","13","5.56","3.06","0.01","0.83","9.48"
2010,"Racing","XOne","20","3.96","4.19","0.05","0.68","8.86"
2010,"Sports","PSP","36","2.39","1.91","3.43","1.14","8.83"
2010,"Adventure","PS4","20","2.80","4.06","0.50","1.36","8.72"
2010,"Party/Minigames","WiiU","7","3.83","2.34","1.74","0.56","8.49"
2010,"Fighting","PS4","17","3.40","2.73","0.70","1.21","8.04"
